Chatgaya,Bangla
আজিয়ে হাজোত এব্বেরে মন ন বইয়্যির,আজকে কাজে একদম মন বাসছেনা
আজিইয়্যে হাজোত এব্বেরে মন ন বইয়্যির,আজকে কাজে একদম মন বাসছেনা
"ভাইয়া, এবার দেশুত আইবের সমত আঁর লাই উজ্ঞো দামি ফোন লই আইসসো","ভাইয়া, এবার দেশে আসার সময় আমার জন্য একটা দামি ফোন নিয়ে এসো"
ইফতেরুর ফরে মার্কেটুত মানুষ বেশি থাহিবু,ইফতারের পরে মার্কেটে মানুষ বেশি থাকবে
সময়মতো হানা ন হাইলি শরীল দুর্বল অই যাইবু,সময়মতো খাবার না খেলে শরীর দুর্বল হয়ে যাবে
সময়মতো হানা ন হাইলি শরীর দুর্বল অই যাইবু,সময়মতো খাবার না খেলে শরীর দুর্বল হয়ে যাবে
"আঁরা বান্দরবন যেতাম চাইর, দিনুত যাই কি দিনুত ফিরি আইত ফাইজ্জুম?","আমরা বান্দরবান যেতে চাচ্ছি, দিনে গিয়ে কি দিনে ফিরে আসতে পারব?"
তোর বাফুরে হ যেন মাছ বাজারুত্তুন হাডি আনে,তোর বাবাকে বল যেন মাছ বাজার থেকে কেটে আনে
"আঁই ইতারারে বারবার নিষেধ গইজ্জিলাম, কিন্তু ইতারা আঁর হতা নো উনে","আমি তাদের বারবার নিষেধ করেছিলাম, কিন্তু তারা আমার কথা শোনে নি"
"আঁই ইতারারে বারবার নিষেধ গইজ্জিলাম, কিন্তু ইতারা আঁর হথা নো উনে","আমি তাদের বারবার নিষেধ করেছিলাম, কিন্তু তারা আমার কথা শোনে নি"
"সবসময় আসিখুশি থাহিবে, তোঁয়ারে আশিখুশি দেহিলি মিষ্টি লাগে","সবসময় হাসিখুশি থাকবা, তোমাকে হাসিখুশি দেখলে মিষ্টি লাগে"
"আরাত্তুন যদি ফিত্তে দেরি অই যাই, তইলি তুই হাইয়্যিরে ঘুমাই যাইস","আমাদের যদি ফিরতে দেরি হয়ে যায়, তাহলে তুই খেয়ে ঘুমিয়ে যাস"
"আজিয়ে বাসাত ন যাইয়্যুম, আঁই আঁর বন্ধুর বাসাত থাহি যাইর","আজকে বাসায় যাব না, আমি আমার বন্ধুর বাসায় থেকে যাচ্ছি"
"আজিইয়্যে বাসাত ন যাইয়্যুম, আঁই আঁর বন্ধুর বাসাত থাহি যাইর","আজকে বাসায় যাব না, আমি আমার বন্ধুর বাসায় থেকে যাচ্ছি"
লাগি থাহিলি একদিন সাফল্য অবশ্যই আইবু,লেগে থাকলে একদিন সাফল্য অবশ্যই আসবে
এই যে উইনতে লেইজ্ঞুন? অঁনে কি বিশ্ববিদ্যালয় উর শিক্ষক?,এই যে শুনছেন? আপনি কি বিশ্ববিদ্যালয়ের শিক্ষক?
"তোরাত্তুন দুরে থাহিলিই ভালা, একলগে থাহিলি এক্কানও ভালা হতা নো অয়","তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না"
"তোরাত্তুন দুরে থাহিলিই ভালা, একলগে থাহিলি এক্কানও গম হতা নো অয়","তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না"
"তোরাত্তুন দুরে থাহিলিই ভালা, এক্কোত্তরে থাহিলি এক্কানও ভালা হতা নো অয়","তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না"
"তোরাত্তুন দুরে থাহিলিই ভালা, এক্কোওয়ারে থাহিলি এক্কানও ভালা হতা নো অয়","তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না"
"তোরাত্তুন দুরে থাহিলিই ভালা, এক্কোফুয়ারে থাহিলি এক্কানও ভালা হতা নো অয়","তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না"
"তোরাত্তুন দুরে থাহিলিই ভালা, একলগে থাহিলি এক্কানও ভালা হথা নো অয়","তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না"
আরাত্তুন অন্যভাবে হাম গরন ফরিবু,আমাদের অন্যভাবে কাজ করতে হবে
আরাত্তুন অন্যভাবে হাজ গরন ফরিবু,আমাদের অন্যভাবে কাজ করতে হবে
শারি ইবের হর ভালা অইবু মনে অর,শাড়িটার কাপড় ভালো হবে মনে হচ্ছে
শারি ইবের হর গম অইবু মনে অর,শাড়িটার কাপড় ভালো হবে মনে হচ্ছে
তোঁয়ার হর ইবে এনডে কা? অন্যমিক্কে লই য হারা,তোমার এই কাপড়টা এখানে কেন? অন্যদিকে নিয়ে যাও জলদি
তোঁয়ার হর ইবে এনডে কা? অন্যমিক্কে লই য তারাতারি,তোমার এই কাপড়টা এখানে কেন? অন্যদিকে নিয়ে যাও জলদি
তোঁয়ার হর ইবে এনডে কা? অন্যমিক্কে লই য জলদি,তোমার এই কাপড়টা এখানে কেন? অন্যদিকে নিয়ে যাও জলদি
"মাথা ঠান্ডা গরো, আঁই কি হইর মন দি উনো","মাথা ঠান্ডা করো, আমি কি বলি মনোযোগ দিয়ে শোনো"
"আজিয়ের আকাশ বৌত পরিষ্কার, তারা এগুন স্পষ্ট দেহা যার","আজকের আকাশ অনেক পরিষ্কার, তারাগুলো স্পষ্ট দেখা যাচ্ছে"
প্রশ্ন দেহি রে আঁর মাথা ঘুরি গেইয়্যি,প্রশ্ন দেখে আমার মাথা ঘুরে গেছে
আঁরে এই বিপদ উত্তুন উদ্ধার গরো,আমাকে এই বিপদ থেকে উদ্ধার করো
"দোয়া গরিস বন্ধু, সামনে বৌত হাম","দোয়া করিস বন্ধু, সামনে অনেক কাজ"
"দোয়া গরিস বন্ধু, সামনে বৌত হাজ","দোয়া করিস বন্ধু, সামনে অনেক কাজ"
"আঁই সবজি দি ভাত হাইতাম ন, আঁরে গোস্ত দও","আমি সবজি দিয়ে ভাত খাব না, আমাকে মাংস দাও"
রাতিয়ে ন হায় ঘুমাইলি বেইন্নে উডি দুর্বল লাগিবু,রাতে না খেয়ে ঘুমালে সকালে উঠে দুর্বল লাগবে
রাতিয়ে ন হায় ঘুমাইলি ফজোরত উডি দুর্বল লাগিবু,রাতে না খেয়ে ঘুমালে সকালে উঠে দুর্বল লাগবে
বাইরে হনোমিক্কেত্তুন ঘুরি আইলি মন ভালা অই যাইবো,বাইরে কোথাও থেকে ঘুরে আসলে মন ভাল হয়ে যাবে
বাইরে হনোমিক্কেত্তুন ঘুরি আইলি মন গম অই যাইবো,বাইরে কোথাও থেকে ঘুরে আসলে মন ভাল হয়ে যাবে
বাদ্দি হনোমিক্কেত্তুন ঘুরি আইলি মন ভালা অই যাইবো,বাইরে কোথাও থেকে ঘুরে আসলে মন ভাল হয়ে যাবে
"অফিস উত্তুন ছুটি পায়, আঁরা হালিয়ে বাইর অইয়্যুম","অফিস থেকে ছুটি পেয়েছি, আমরা আগামীকাল বের হব"
"স্যার, আঁই ইতের মিক্কে নো চাই","স্যার, আমি ওর দিকে তাকাইনি"
"আঁই এহনুত্তুন টিয়া জমাইর, যেন বন্ধত হনোমিক্কে এক্কানা ঘুরি আইত ফারি","আমি এখন থেকে টাকা জমাচ্ছি, যেন বন্ধে কোথাও একটু ঘুরে আসতে পারি"
"আঁই এহনুত্তুন টিয়া জমাইর, যেন বন্ধত হনোমিক্কে ইক্কিনি ঘুরি আইত ফারি","আমি এখন থেকে টাকা জমাচ্ছি, যেন বন্ধে কোথাও একটু ঘুরে আসতে পারি"
আত্তুন কার্টুন চাইতে বৌত ভালা লাগে,আমার কার্টুন দেখতে অনেক ভাল লাগে
আত্তুন কার্টুন চাইতে বৌত গম লাগে,আমার কার্টুন দেখতে অনেক ভাল লাগে
পরিচিত মানুষ উত্তুন এল্লেত বেশি লাভ গরন উর দরহার নেই,পরিচিত মানুষ থেকে এত বেশি লাভ করার দরকার নেই
পরিচিত মানুষ উত্তুন এতো বেশি লাভ গরন উর দরহার নেই,পরিচিত মানুষ থেকে এত বেশি লাভ করার দরকার নেই
"আঁই ৩০০ টিয়া দিইয়্যুম, যদি ফারো দিই দন","আমি ৩০০ টাকা দিব, যদি পারেন দিয়ে দেন"
গুরো থাকতে আম্মুর হাছে ১৯৯১ সালুর বন্যার হথা উইন্নিলাম,ছোটবেলায় আম্মুর কাছে ১৯৯১ সালের বন্যার কথা শুনেছিলাম
গুরো থাকতে আম্মুর হাছে ১৯৯১ সালুর বন্যার হতা উইন্নিলাম,ছোটবেলায় আম্মুর কাছে ১৯৯১ সালের বন্যার কথা শুনেছিলাম
"তুঁই এহন ভাত ন হাইয়্যু, আঁই এক্কানা ফর আলু ভত্তা গরি দির","তুমি এখন ভাত খেও না, আমি একটু পর আলু ভর্তা করে দিচ্ছি"
"তুঁই এহন ভাত ন হাইয়্যু, আঁই ইক্কিনি ফর আলু ভত্তা গরি দির","তুমি এখন ভাত খেও না, আমি একটু পর আলু ভর্তা করে দিচ্ছি"
"তুঁই এহন ভাত ন হাইয়্যু, আঁই এক্কানা ফর আলু চান্নি গরি দির","তুমি এখন ভাত খেও না, আমি একটু পর আলু ভর্তা করে দিচ্ছি"
গোসল গরি আইবের সমত তুর বাফুর লুঙ্গি ইয়েন অ ধুয় আনিস,গোসল করে আসার সময় তোর বাবার লুঙ্গিটাও ধুয়ে আনিস
"চল, আজিয়ে সুলতান'স ডাইন উত্তুন কাচ্চি বিরেনি হাই আই","চল, আজ সুলতান'স ডাইন থেকে কাচ্চি বিরিয়ানি খেয়ে আসি"
"ফজোরত ঘুম ভাঙিবের পর জানালা খুলি দি, তারপর দেহিদ্দি সূর্য উডি গেইয়্যি","সকালে ঘুম ভাঙার পর জানালা খুলে দিলাম, তারপর দেখি সূর্য উঠে গেছে"
"বেইন্নে ঘুম ভাঙিবের পর জানালা খুলি দি, তারপর দেহিদ্দি সূর্য উডি গেইয়্যি","সকালে ঘুম ভাঙার পর জানালা খুলে দিলাম, তারপর দেখি সূর্য উঠে গেছে"
চুরি গরি হনো কিছু অর্জন গরি কি লাভ?,চুরি করে কোনো কিছু অর্জন করে কী লাভ?
"টেং বৌত ব্যথা গরের, এক্কানা টিপি দও না","পায়ে খুব ব্যথা করছে, একটু টিপে দাও তো"
"টেং বৌত ব্যথা গরের, ইক্কিনি টিপি দও না","পায়ে খুব ব্যথা করছে, একটু টিপে দাও তো"
হেইল্যে গরা বাজে বেশি,খালি কলসি বাজে বেশি
হালি গরা বাজে বেশি,খালি কলসি বাজে বেশি
স্টুডেন্ট ভিসে লই ইতালি গেলি কেন অইবু,স্টুডেন্ট ভিসা নিয়ে ইতালি গেলে কেমন হবে?
বিয়াজ্ঞুনুর ব্যাগ আর মোবাইল ফোন সাম্মুদ্দি আনি রাহো,সবার ব্যাগ আর মোবাইল ফোন সামনে এনে রাখো
এন গরি মাথা ঘুরাদ্দে যেন মনে অর দুনিয়ে ইয়েন ঘুরের,এমনভাবে মাথা ঘুরাচ্ছে যেন মনে হচ্ছে দুনিয়াটা ঘুরতাছে
এক্কোওয়ারে তিন্নো লইলি কি দাম এক্কানা হম রাহিবেন?,একসাথে তিনটা নিলে কি দাম একটু কম রাখবেন?
এক্কোওয়ারে তিন্নো লইলি কি দাম ইক্কিনি হম রাহিবেন?,একসাথে তিনটা নিলে কি দাম একটু কম রাখবেন?
এক্কোত্তরে তিন্নো লইলি কি দাম এক্কানা হম রাহিবেন?,একসাথে তিনটা নিলে কি দাম একটু কম রাখবেন?
একলগে তিন্নো লইলি কি দাম এক্কানা হম রাহিবেন?,একসাথে তিনটা নিলে কি দাম একটু কম রাখবেন?
এক্কোফুয়ারে তিন্নো লইলি কি দাম এক্কানা হম রাহিবেন?,একসাথে তিনটা নিলে কি দাম একটু কম রাখবেন?
"হর ইবে বেশি হাচারা অই গেইয়্যি, আজিয়ে ধুই ফেলন ফরিবু","কাপড়টা বেশি ময়লা হয়ে গেছে, ধুয়ে ফেলতে হবে আজকে"
"হর ইবে বেশি হাচারা অই গেইয়্যি, আজিইয়্যে ধুই ফেলন ফরিবু","কাপড়টা বেশি ময়লা হয়ে গেছে, ধুয়ে ফেলতে হবে আজকে"
"হর ইবে বেশি ময়লা অই গেইয়্যি, আজিয়ে ধুই ফেলন ফরিবু","কাপড়টা বেশি ময়লা হয়ে গেছে, ধুয়ে ফেলতে হবে আজকে"
"আত্তুন এক্কানা হারাপ লার, আঁই যাইত ফাইত্তাম নো","আমার একটু খারাপ লাগছে, আমি যেতে পারব না"
"আত্তুন ইক্কিনি হারাপ লার, আঁই যাইত ফাইত্তাম নো","আমার একটু খারাপ লাগছে, আমি যেতে পারব না"
আডুর ব্যথার হারনে সিরি বাই উঠতে বৌত হষ্ট অর,হাঁটুতে ব্যথার কারণে সিঁড়ি বেয়ে উঠতে অনেক কষ্ট হচ্ছে
গত হালিয়ে ফোতু ভাইয়ুর লগে বৌত জাগাত বাসা তোওয়াই,গতকাল ফুফাতো ভাইয়ের সাথে অনেক জায়গায় বাসা খুঁজেছি
গত হালিয়ে ফোতু ভাইয়ুর ওয়ারে বৌত জাগাত বাসা তোওয়াই,গতকাল ফুফাতো ভাইয়ের সাথে অনেক জায়গায় বাসা খুঁজেছি
গত হালিয়ে ফোতু ভাইয়ুর ফুয়ারে বৌত জাগাত বাসা তোওয়াই,গতকাল ফুফাতো ভাইয়ের সাথে অনেক জায়গায় বাসা খুঁজেছি
আঁরে আরো কিছু গরম গরম ধু পিডে দও,আমাকে আরো কিছু গরম গরম ভাপা পিঠা দাও
"আঁই বিয়েলে নাস্তা হাইলাম, এতেল্লে রাতিয়ে ভাত দেরি গরি হাইয়্যুম","আমি বিকেলে নাস্তা খেয়েছিলাম, তাই রাতে ভাত দেরি করে খাব"
"বদ্দা, অঁনে ন আইলি আজিয়ের আড্ডা ইয়েন একদম ন জইমতো","ভাই, আপনি না এলে আজকের আড্ডাটা একদম জমত না"
"আঁর ফুওয়া কাতারুত থাহে, এনডে ব্যবসা গরে","আমার ছেলে কাতারে থাকে, ওখানে ব্যবসা করে"
"অঁনে কি সত্যি ইয়েন হইয়্যুন, নাকি আঁই ঘুমুর মধ্যে উইন্নিলাম?","আপনি কি সত্যিই এটা বললেন, নাকি আমি ঘুমের মধ্যে শুনলাম?"
"বদ্দা, গারি ইয়েন এক্কানা সরাই লন, রাস্তা আটকি আছে","ভাই, গাড়িটা একটু সরিয়ে নিন, রাস্তা আটকে আছে"
"বদ্দা, গারি ইয়েন ইক্কিনি সরাই লন, রাস্তা আটকি আছে","ভাই, গাড়িটা একটু সরিয়ে নিন, রাস্তা আটকে আছে"
"বদ্দা, তুর লাই কিছু মিষ্টি আইন্নি, লই যা, তুর বৌত পছন্দের জিনিস!","ভাই, তোর জন্য কিছু মিষ্টি এনেছি, নিয়ে যা, তোর অনেক পছন্দের জিনিস!"
"ইবে গাছফোওয়ানা হাট্টল, এতেল্লে দাম বেশি অইবু","এটা গাছপাকা কাঁঠাল, তাই দাম বেশি হবে"
আসসালামু আলাইকুম বদ্দা,আসসালামু আলাইকুম ভাই
"আম্মু, আঁর পরীক্ষে হালিয়ে, এতেল্লে আজিয়ে রাতিয়ে তারাতারি হানা দি দও","আম্মু, আমার পরীক্ষা আগামীকাল, তাই আজ রাতে একটু তাড়াতাড়ি খাবার দিয়ে দাও"
"আঁরার পারার কুত্তো ইবেরে যিয়েন দি ইয়েন হায়, হনো বাছবিচের নেই","আমাদের পাড়ার কুকুরকে যা দেয় তাই খায়, কোনো বাছবিচার নেই"
এই বছর বন্যার পানি এতো বেশি উইট্টি দে বৌত বারি পানিত ডুফি গেইয়্যি,এই বছর বন্যার পানি এত বেশি উঠেছে যে অনেক বাড়ি পানিতে ডুবে গেছে
এই বছর বন্যার পানি এল্লেত বেশি উইট্টি দে বৌত বারি পানিত ডুফি গেইয়্যি,এই বছর বন্যার পানি এত বেশি উঠেছে যে অনেক বাড়ি পানিতে ডুবে গেছে
হতদিনোর মধ্যে হাম অইবু বদ্দা?,কতদিনের মধ্যে কাজ হবে ভাই?
হতদিনোর মধ্যে হাজ অইবু বদ্দা?,কতদিনের মধ্যে কাজ হবে ভাই?
কুরো দুনু অ আডোত লই যায় রে বেছি আয়,মুরগি দুটো হাটে নিয়ে গিয়ে বিক্রি করে আয়
কুরা দুনু অ আডোত লই যায় রে বেছি আয়,মুরগি দুটো হাটে নিয়ে গিয়ে বিক্রি করে আয়
এবার রাজশাহীত গেলি বেশি গরি রাজশাহীর আম আর লেচু লই আইসসুম,এবার রাজশাহী গেলে বেশি করে রাজশাহীর আম আর লিচু নিয়ে আসব
কি হন এগিন! আঁরার বারিত কিল্লে থাহিবু?,কি বলেন এসব! আমাদের বাড়িতে থাকবে কেন?
"হারা যও, সূর্য ডুবিবের আগে হাম শেষ গরো","জলদি যাও, সূর্য ডোবার আগে কাজ শেষ কর"
"হারা যও, সূর্য ডুবিবের আগে হাজ শেষ গরো","জলদি যাও, সূর্য ডোবার আগে কাজ শেষ কর"
"তারাতারি যও, সূর্য ডুবিবের আগে হাম শেষ গরো","জলদি যাও, সূর্য ডোবার আগে কাজ শেষ কর"
"জলদি যও, সূর্য ডুবিবের আগে হাম শেষ গরো","জলদি যাও, সূর্য ডোবার আগে কাজ শেষ কর"
তুঁই আঁর হতাত হান ন দি উইক্কে কি চায় থেইক্কো?,তুমি আমার কথায় কান না দিয়ে ওই দিকে কি দেখো?
