Bangla,Chatgaya
আমি আগে আরো অনেকবার আপনার দোকান থেকে বাজার করেছি,আঁই আগে আরো বতবার অঁনোর দোয়ানত্তুন বাজার গইজ্জি
সময়মতো খাবার না খেলে শরীর দুর্বল হয়ে যাবে,সময়মতো হানা ন হাইলি শরীল দুর্বল অই যাইবু
সময়মতো খাবার না খেলে শরীর দুর্বল হয়ে যাবে,সময়মতো হানা ন হাইলি শরীর দুর্বল অই যাইবু
"এবার বর্ষা আসার আগে ঘরটা ঠিক করে ফেলতে হবে, না হলে বর্ষাকালে বেশি কষ্ট হবে","এবার বর্ষা আইবের আগে ঘর ইয়েন ঠিক গরি ফেলন ফরিবু, নইলি বর্ষাহালে হষ্ট অইবু"
আর কত বাটপারি করবি বন্ধু? এবার ভাল হয়ে যা,আর হত বাটফারি গরিবি বন্ধু? এবার ভালা অই যা
আর কত বাটপারি করবি বন্ধু? এবার ভাল হয়ে যা,আর হত বাটফারি গরিবি বন্ধু? এবার গম অই যা
"আমি ঠিকমতো নাস্তা করতে পারিনি, সেজন্য জলদি খিদে লেগেছে","আঁই ঠিকগরি নাস্তা গরিত ন ফারি, এতেল্লে হারা ভুক লেইজ্ঞি"
"আমি ঠিকমতো নাস্তা করতে পারিনি, সেজন্য জলদি খিদে লেগেছে","আঁই ঠিকগরি নাস্তা গরিত ন ফারি, এতেল্লে তারাতারি ভুক লেইজ্ঞি"
"আমি ঠিকমতো নাস্তা করতে পারিনি, সেজন্য জলদি খিদে লেগেছে","আঁই ঠিকগরি নাস্তা গরিত ন ফারি, এতেল্লে জলদি ভুক লেইজ্ঞি"
ফুলকপি কত করে? ভিতরে পোকা হবে না তো?,ফুলহপ্পি হত গরি? ভিতুরে ফুক অইবু না হনো?
ফুলকপি কত করে? ভিতরে পোকা হবে না তো?,ফুলহপ্পি হত গরি? ভিতুরে ফুগ অইবু না হনো?
তাড়াতাড়ি কলসি নিয়ে এক কলসি পানি নিয়ে এসো,তারাতারি গরা লই এক গরা পানি লই আইয়্যো
"আজকে বাসায় যাব না, আমি আমার বন্ধুর বাসায় থেকে যাচ্ছি","আজিয়ে বাসাত ন যাইয়্যুম, আঁই আঁর বন্ধুর বাসাত থাহি যাইর"
"আজকে বাসায় যাব না, আমি আমার বন্ধুর বাসায় থেকে যাচ্ছি","আজিইয়্যে বাসাত ন যাইয়্যুম, আঁই আঁর বন্ধুর বাসাত থাহি যাইর"
এই জামাটা একটু বড় সাইজে পাওয়া যাবে?,হুত্তা ইবে এক্কানা বরো সাইজুর পন যাইবু?
এই জামাটা একটু বড় সাইজে পাওয়া যাবে?,হুত্তা ইবে ইক্কিনি বরো সাইজুর পন যাইবু?
আমরা যেখানে যাচ্ছি সেখানে নেটওয়ার্কে অনেক সমস্যা হয়,আঁরা যেনডে যাইর এনডে নেটওয়ার্ক উত বত সমস্যা অয়
ঘরে ঢোকার পূর্বে পাপোশে একবার পাগুলো মুছে তারপর ঢুকিও,ঘরোত ঢোকিবের আগে ফাফোসুত একবার টেং এগিন মুছি তারপর ঢুইক্কো
"বন্ধু, যদি পারিস তাহলে আমাকে একটা চাকরি খুঁজে দে","বন্ধু, যরি পারুস তইলি আঁরে এক্কান চঅরি থোওয়াই দে"
এই মেয়েটা তোকে পছন্দ করে মনে হয়,এই মেইফুওয়া ইবে তোরে পছন্দ গরে মনে অয়
আমাদের এখানে অনেক বড় একটা মার্কেট খুলেছে,আঁরার এনডে বত বরো উজ্ঞো মার্কেট খুইল্লি
"মাথা ঠান্ডা করো, আমি কি বলি মনোযোগ দিয়ে শোনো","মাথা ঠান্ডা গরো, আঁই কি হইর মন দি উনো"
ঘরে ছোট ছোট বাচ্চা থাকলে মন খারাপ করে থাকা যায় না,ঘরুত গুরো গুরো বাইচ্চে থাহিলি মন হারাপ গরি থাহন ন যায়
প্রশ্ন দেখে আমার মাথা ঘুরে গেছে,প্রশ্ন দেহি রে আঁর মাথা ঘুরি গেইয়্যি
আমাকে এই বিপদ থেকে উদ্ধার করো,আঁরে এই বিপদ উত্তুন উদ্ধার গরো
"দোয়া করিস বন্ধু, সামনে অনেক কাজ","দোয়া গরিস বন্ধু, সামনে বত হাম"
"দোয়া করিস বন্ধু, সামনে অনেক কাজ","দোয়া গরিস বন্ধু, সামনে বত হাজ"
"এত বকবক না করে কাজে মন দাও, সব কাজ পড়ে আছে","এত বকবক ন গরি হাজুত মন দও, বিয়াক হাজ পরি আছে"
"এত বকবক না করে কাজে মন দাও, সব কাজ পড়ে আছে","এত বকবক ন গরি হাজুত মন দও, বিয়াক হাম পরি আছে"
দাঁতের মাজনটা কোথায় আম্মু?,দাতোর মাজন ইবে হনডে আম্মু?
দাঁতের মাজনটা কোথায় আম্মু?,দাতোর মাজন ইবে হডে আম্মু?
বাইরে কোথাও থেকে ঘুরে আসলে মন ভাল হয়ে যাবে,বাইরে হনোমিক্কেত্তুন ঘুরি আইলি মন ভালা অই যাইবো
বাইরে কোথাও থেকে ঘুরে আসলে মন ভাল হয়ে যাবে,বাইরে হনোমিক্কেত্তুন ঘুরি আইলি মন গম অই যাইবো
বাইরে কোথাও থেকে ঘুরে আসলে মন ভাল হয়ে যাবে,বাদ্দি হনোমিক্কেত্তুন ঘুরি আইলি মন ভালা অই যাইবো
"সকালে বের হওয়ার সময় মনে হয়েছিল বৃষ্টি আসবে না, কিন্তু বের হওয়ার কিছুক্ষণের মধ্যেই বৃষ্টি চলে আসে","বেইন্নে বাইর অইবের সমত মনে অইয়্যিল ঝর নো আইবু, কিন্তু বাইর অইবের কিছুক্ষনুর মধ্যেই ঝর চলি আইসসি"
"সকালে বের হওয়ার সময় মনে হয়েছিল বৃষ্টি আসবে না, কিন্তু বের হওয়ার কিছুক্ষণের মধ্যেই বৃষ্টি চলে আসে","ফজোরত বাইর অইবের সমত মনে অইয়্যিল ঝর নো আইবু, কিন্তু বাইর অইবের কিছুক্ষনুর মধ্যেই ঝর চলি আইসসি"
আমি ওখানে যাওয়ার জন্য লাফাচ্ছি না,আঁই অনডে যাইবের লাই ন ফালাইর
"যারা সাগরের আশপাশে আছে, তাদের জন্য অনেক বিপজ্জনক",যারা সগরুর আশে পাশে আছে ইতারার লাই বত বিপজ্জনক
"যারা সাগরের আশপাশে আছে, তাদের জন্য অনেক বিপজ্জনক",যারা সগরুর আশে ডাহে আছে ইতারার লাই বত বিপজ্জনক
"কাল কোন শব্দ নেই, আজকে থেকেই শুরু করতে হবে","হালিয়ে হনো শব্দ নেই, আজিয়েত্তুন শুরু গরন ফরিবু"
বর্ষাকাল আসলে আমাদের বেড়িবাঁধ ভেঙে যায়,বর্ষাহাল আইলি আঁরার হাডি ভাঙি যায়
"আমাদের এখানে ঘুরার জন্য অনেক জায়গা আছে, আশা করি তোমার ভালো লাগবে","আঁরার এনডে ঘুরিবের লাই বত জাগা আছে, আশা গরি তোঁয়ার ভালা লাগিবু"
"আমাদের এখানে ঘুরার জন্য অনেক জায়গা আছে, আশা করি তোমার ভালো লাগবে","আঁরার এনডে ঘুরিবের লাই বত জাগা আছে, আশা গরি তোঁয়ার গম লাগিবু"
মাংস বিক্রেতাগুলো বেশি খারাপ,গোস্ত বিয়ারি এগুন বেশি হারাফ
শীতকালে অনেক রকমের পিঠা পাওয়া যায়,শীতহালে বত রহমুর পিডে পন যায়
গোসল করে আসার সময় তোর বাবার লুঙ্গিটাও ধুয়ে আনিস,গোসল গরি আইবের সমত তুর বাফুর লুঙ্গি ইয়েন অ ধুয় আনিস
"বারবার বলেছি, শহরে গেলে মোবাইল সাবধানে রাখতে",বারবার হইলাম শরুত গেলি মোবাইল সাবধানে রাখতো
"কুতুবদিয়া যেতে চাইলে নৌকা নিয়ে যেতে হবে, যেটা অনেক ঝুঁকিপূর্ণ","কুতুবদিয়ে যেতু চাইলি নৌকো লই যন ফরিবু, যিয়েন বত রিস্ক"
"আমি আগেও বলেছি এবং এখনও বলছি, এই কাজ করা আমার পক্ষে সম্ভব না","আঁই আগেও হই আর এহনও হইর, হাম ইয়েন গরন আঁর পক্ষে সম্ভব ন"
"আমি আগেও বলেছি এবং এখনও বলছি, এই কাজ করা আমার পক্ষে সম্ভব না","আঁই আগেও হই আর এহনও হইর, হাজ ইয়েন গরন আঁর পক্ষে সম্ভব ন"
তারা দুজন অনেক ভাল বন্ধু,ইতারা দুনুজন বত ভালা বন্ধু
তারা দুজন অনেক ভাল বন্ধু,ইতারা দুনুজন বত গম বন্ধু
আমি আর আমার স্ত্রী মিলে সবকিছু রেডি করেছি,আঁই আর আঁর বউ মিলি বিয়াক কিছু রেডি গইজ্জি
